c_acc_number,cqr_longitude,cqr_latitude,zone_name_from_coordinates,cqr_acc_id_org,isthecustomeravailable,trw_id
NEWACCOUNT-36.081491746008396,36.08149175,-0.303788587,Southern Zone,-1,NO,46739
NEWACCOUNT-36.08149442821742,36.08149443,-0.302992317,Southern Zone,-1,NO,46740
NEWACCOUNT-36.08149643987417,36.08149644,-0.288908896,Southern Zone,-1,NO,46741
NEWACCOUNT-36.08150213956833,36.08150214,-0.291195786,Southern Zone,-1,NO,46744
NEWACCOUNT-36.081507839262486,36.08150784,-0.303745672,Southern Zone,-1,NO,46745
NEWACCOUNT-36.081507839262486,36.08150784,-0.292074868,Southern Zone,-1,NO,46746
NEWACCOUNT-36.08151085674763,36.08151086,-0.302605079,Southern Zone,-1,NO,46748
NEWACCOUNT-36.08151353895664,36.08151354,-0.294901209,Southern Zone,-1,NO,46749
NEWACCOUNT-36.08151454478502,36.08151454,-0.303654814,Southern Zone,-1,NO,46750
NEWACCOUNT-36.08152829110622,36.08152829,-0.29374318,Southern Zone,-1,NO,46751
NEWACCOUNT-36.081532314419746,36.08153231,-0.292820177,Southern Zone,-1,NO,46753
NEWACCOUNT-36.08153499662876,36.081535,-0.294753019,Southern Zone,-1,NO,46755
NEWACCOUNT-36.081540025770664,36.08154003,-0.292843646,Southern Zone,-1,NO,46756
NEWACCOUNT-36.08154371380806,36.08154371,-0.295328345,Southern Zone,-1,NO,46757
NEWACCOUNT-36.08155343681573,36.08155344,-0.302641624,Southern Zone,-1,NO,46762
NEWACCOUNT-36.08155712485313,36.08155712,-0.293756256,Southern Zone,-1,NO,46763
NEWACCOUNT-36.08155947178602,36.08155947,-0.292457078,Southern Zone,-1,NO,46764
NEWACCOUNT-36.08156282454729,36.08156282,-0.288965893,Southern Zone,-1,NO,46765
NEWACCOUNT-36.081564165651805,36.08156417,-0.293735804,Southern Zone,-1,NO,46767
NEWACCOUNT-36.08156617730856,36.08156618,-0.302401904,Southern Zone,-1,NO,46768
NEWACCOUNT-36.08156818896532,36.08156819,-0.2948593,Southern Zone,-1,NO,46770
NEWACCOUNT-36.08157120645046,36.08157121,-0.294760395,Southern Zone,-1,NO,46772
NEWACCOUNT-36.08157288283109,36.08157288,-0.288071387,Southern Zone,-1,NO,46773
NEWACCOUNT-36.081578247249126,36.08157825,-0.294503241,Southern Zone,-1,NO,46774
NEWACCOUNT-36.081578582525246,36.08157858,-0.29062113,Southern Zone,-1,NO,46775
NEWACCOUNT-36.08158092945814,36.08158093,-0.292385665,Southern Zone,-1,NO,46776
NEWACCOUNT-36.08158327639103,36.08158328,-0.28864839,Southern Zone,-1,NO,46777
NEWACCOUNT-36.08159299939871,36.081593,-0.288619222,Southern Zone,-1,NO,46780
NEWACCOUNT-36.08164697885513,36.08164698,-0.289173091,Southern Zone,-1,NO,46806
NEWACCOUNT-36.08164865523577,36.08164866,-0.292138905,Southern Zone,-1,NO,46807
NEWACCOUNT-36.08164966106414,36.08164966,-0.294053307,Southern Zone,-1,NO,46808
NEWACCOUNT-36.081654354929924,36.08165435,-0.297438545,Southern Zone,-1,NO,46810
NEWACCOUNT-36.08165536075831,36.08165536,-0.293428025,Southern Zone,-1,NO,46812
NEWACCOUNT-36.08165569603443,36.0816557,-0.294752684,Southern Zone,-1,NO,46813
NEWACCOUNT-36.081657372415066,36.08165737,-0.294885786,Southern Zone,-1,NO,46814
NEWACCOUNT-36.08165770769119,36.08165771,-0.302416321,Southern Zone,-1,NO,46815
NEWACCOUNT-36.08165804296732,36.08165804,-0.287520536,Southern Zone,-1,NO,46816
NEWACCOUNT-36.081658378243446,36.08165838,-0.289060439,Southern Zone,-1,NO,46817
NEWACCOUNT-36.08171034604311,36.08171035,-0.294447922,Southern Zone,-1,NO,46837
NEWACCOUNT-36.08171168714762,36.08171169,-0.293645281,Southern Zone,-1,NO,46838
NEWACCOUNT-36.08172006905079,36.08172007,-0.291387226,Southern Zone,-1,NO,46840
NEWACCOUNT-36.08172275125981,36.08172275,-0.298165749,Southern Zone,-1,NO,46841
NEWACCOUNT-36.08172275125981,36.08172275,-0.293812917,Southern Zone,-1,NO,46842
NEWACCOUNT-36.081725768744946,36.08172577,-0.286420508,Southern Zone,-1,NO,46843
NEWACCOUNT-36.081728115677834,36.08172812,-0.294053642,Southern Zone,-1,NO,46844
NEWACCOUNT-36.081732138991356,36.08173214,-0.30313749,Southern Zone,-1,NO,46845
NEWACCOUNT-36.081732138991356,36.08173214,-0.293444453,Southern Zone,-1,NO,46846
NEWACCOUNT-36.08173482120037,36.08173482,-0.300213587,Southern Zone,-1,NO,46847
NEWACCOUNT-36.08173616230488,36.08173616,-0.303076806,Southern Zone,-1,NO,46848
NEWACCOUNT-36.08173884451389,36.08173884,-0.290575533,Southern Zone,-1,NO,46849
NEWACCOUNT-36.08173917979002,36.08173918,-0.289087596,Southern Zone,-1,NO,46850
NEWACCOUNT-36.081746220588684,36.08174622,-0.293400197,Southern Zone,-1,NO,46851
NEWACCOUNT-36.08175192028284,36.08175192,-0.303785234,Southern Zone,-1,NO,46855
NEWACCOUNT-36.08175493776798,36.08175494,-0.300023824,Southern Zone,-1,NO,46857
NEWACCOUNT-36.081766337156296,36.08176634,-0.302490751,Southern Zone,-1,NO,46860
NEWACCOUNT-36.08177941292524,36.08177941,-0.294949823,Southern Zone,-1,NO,46864
NEWACCOUNT-36.08178846538067,36.08178847,-0.29829047,Southern Zone,-1,NO,46865
NEWACCOUNT-36.08179785311222,36.08179785,-0.302507515,Southern Zone,-1,NO,46867
